Information,Record_No,273,Record_No,274,Record_No,275,Record_No,276,Record_No,277,Record_No,278,Record_No,279,Record_No,280,Record_No,281,Record_No,282,Record_No,283,Record_No,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,Animal ID,Animal_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,Species/Breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,Study protocol #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,Birthdate,Dec/30/1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TestDate,Jul/31/2020,TestDate,Jul/31/2020,TestDate,Jul/31/2020,TestDate,Jul/31/2020,TestDate,Jul/31/2020,TestDate,Jul/31/2020,TestDate,Jul/31/2020,TestDate,Jul/31/2020,TestDate,Jul/31/2020,TestDate,Jul/31/2020,TestDate,Jul/31/2020,TestDate,Jul/31/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TestTime,10:00:05,TestTime,10:00:05,TestTime,10:00:05,TestTime,10:00:05,TestTime,10:00:05,TestTime,10:00:05,TestTime,10:00:05,TestTime,10:00:05,TestTime,10:00:05,TestTime,10:00:05,TestTime,10:00:05,TestTime,10:00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Protocol,SCOTOPIC+FLICKER       ,Protocol,SCOTOPIC+FLICKER       ,Protocol,SCOTOPIC+FLICKER       ,Protocol,SCOTOPIC+FLICKER       ,Protocol,SCOTOPIC+FLICKER       ,Protocol,SCOTOPIC+FLICKER       ,Protocol,SCOTOPIC+FLICKER       ,Protocol,SCOTOPIC+FLICKER       ,Protocol,SCOTOPIC+FLICKER       ,Protocol,SCOTOPIC+FLICKER       ,Protocol,SCOTOPIC+FLICKER       ,Protocol,SCOTOPIC+FLICKER       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Step_No,1,Step_No,1,Step_No,2,Step_No,2,Step_No,3,Step_No,3,Step_No,4,Step_No,4,Step_No,5,Step_No,5,Step_No,6,Step_No,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Label,R,Label,L,Label,R,Label,L,Label,R,Label,L,Label,R,Label,L,Label,R,Label,L,Label,R,Label,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stimulus,Scotopic  WHT X dB Flash  ,Stimulus,Scotopic  WHT X dB Flash  ,Stimulus,Scotopic  WHT X dB Flash  ,Stimulus,Scotopic  WHT X dB Flash  ,Stimulus,Scotopic  WHT X dB Flash  ,Stimulus,Scotopic  WHT X dB Flash  ,Stimulus,Scotopic  WHT X dB Flash  ,Stimulus,Scotopic  WHT X dB Flash  ,Stimulus,Scotopic  WHT X dB Flash  ,Stimulus,Scotopic  WHT X dB Flash  ,Stimulus,Scotopic  WHT X dB Flash  ,Stimulus,Scotopic  WHT X dB Flash  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
