Contents Table						Header Table			Marker Table													Summary Table										Stimulus Table				Data Table																																																					
Table	Left	Top	Right	Bottom		Parameter	Value		Group	Name	Cage #	Age	Date	S	C	R	Eye	Name	uV	ms		Subject	Cage #	Step	Result	Eye	Trials	Rejects	Date	Comment		Step	Description	cd.s/m²		Step	Column	Chan	Result	Column	Trials	Step 1	Chan 1		Chan 2		Chan 3		Chan 4		Step 2	Chan 1			Chan 2			Chan 3			Chan 4			Step 3	Chan 1	Chan 2	Chan 3	Chan 4	Step 4	Chan 1	Chan 2	Chan 3	Chan 4	Step 5	Chan 1	Chan 2	Chan 3	Chan 4	Step 6	Chan 1	Chan 2	Chan 3	Chan 4	Step 7	Chan 1	Chan 2	Chan 3	Chan 4	
																																										Time (ms)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Time (ms)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Time (ms)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Time (ms)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Time (ms)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Time (ms)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	Time (ms)	Result (nV)	Result (nV)	Result (nV)	Result (nV)	
Spreadsheet	1	1	89	2091		Protocol	Glsucoma + Flicker - 03/12/2021		0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	1	1	1	RE	a	-5.283	23		ANIMAL PRAC PRAC1		1	1	RE	10	1	3/12/2021 10:19:41 AM			1	Step 1	1E-6		1	43	1	1	44	0	-20	625.505859375	2945.53125	-232.982421875	-6612.796875	-36.0034065246582	1386.10668945313	-974.478271484375	-2470.931640625	-20	-6533.5625	2946.57861328125	5464.63720703125	-1940.32470703125	-2257.9609375	-211.740234375	8049.4970703125	5100.67919921875	2031.05334472656	3816.11889648438	412.562072753906	809.277160644531	-20	46.50439453125	186.986328125	2780.79296875	4259.14306640625	-20	-934.830078125	22761.251953125	-4389.2021484375	4188.84814453125	-20	16890.21484375	40229.7265625	-2753.85522460938	-11105.537109375	-20	21224.20703125	35085.94921875	2074.57080078125	-8218.115234375	-20	-8620.912109375	-15786.8046875	-570.187866210938	-2270.27978515625	
Header Table	7	4	8	13		Test method	ERG Test		0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	1	1	1	RE	B	13.26	64		ANIMAL PRAC PRAC1		1	2	RE	10	1	3/12/2021 10:22:32 AM			2	Step 1	0.001		1	43	1	2	45	0	-19.5	-1406.064453125	1651.4921875	-856.6484375	-6359.5625	-1014.58758544922	245.679748535156	-2080.53564453125	-2134.35009765625	-19.5	-4477.615234375	5417.7822265625	6580.83984375	300.49609375	293.5947265625	-186.994140625	6938.07275390625	5773.0849609375	1931.65124511719	4792.86328125	3142.09375	338.378692626953	-19.5	2911.44677734375	3976.73095703125	5587.5830078125	6600.97998046875	-19.5	-3.6201171875	26630.10546875	-3449.212890625	7060.546875	-19.5	16310.9951171875	39916.3125	-2807.34936523438	-10516.5107421875	-19.5	16292.705078125	31135.826171875	-2916.6337890625	-10951.7939453125	-19.5	-8534.228515625	-14944.6796875	-552.54296875	-1638.80065917969	
Marker Table	10	4	21	43		Stimulator	Celeris Stimulator		0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	1	1	2	RE	a	-5.475	9		ANIMAL PRAC PRAC1		2	1	RE	2	1	3/12/2021 10:20:14 AM			3	Step 2	0.0126		1	45	2	1	46	0	-19	-4137.66796875	-752.203125	-183.822265625	-5736.078125	-2746.91967773438	-1936.06774902344	-1672.86938476563	-1271.30432128906	-19	278.73828125	6090.984375	6302.27392578125	1639.7373046875	-398.45703125	658.0146484375	7306.6318359375	4635.12939453125	847.214172363281	4881.79345703125	2776.92846679688	524.848510742188	-19	3496.29272460938	5009.55859375	5650.8916015625	6357.3408203125	-19	1018.55151367188	24854.142578125	-1990.09057617188	3739.1484375	-19	15088.939453125	40887.7109375	-3944.86962890625	-8326.2822265625	-19	11161.876953125	28913.3671875	-7535.9423828125	-12058.6494140625	-19	-8878.134765625	-14330.5625	-900.2216796875	-1158.14562988281	
Summary Table	23	4	31	13		Date performed	3/12/2021 10:23:50 AM		0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	1	1	2	RE	B	12.94	68		ANIMAL PRAC PRAC1		2	2	RE	6	1	3/12/2021 10:23:26 AM			4	Step 3	0.25112		1	45	2	2	47	0	-18.5	-5744.36328125	-1032.171875	1160.236328125	-5064.765625	-3431.13745117188	-2431.34619140625	-420.876037597656	-409.080932617188	-18.5	6036.48046875	5423.390625	3995.90478515625	2815.64453125	-2780.3681640625	1876.76171875	8411.0625	2189.91870117188	-1603.55383300781	4437.728515625	367.033233642578	1096.73742675781	-18.5	3032.7353515625	3496.2373046875	3989.025390625	3498.01171875	-18.5	-84.885986328125	21936.8046875	-2131.25268554688	-1629.00634765625	-18.5	15807.1484375	42809.42578125	-3873.88525390625	-5496.14794921875	-18.5	7642.1669921875	30772.962890625	-9569.0087890625	-9510.978515625	-18.5	-8984.90625	-14759.96875	-1091.26867675781	-1554.04626464844	
Stimulus Table	33	4	35	10		Steps	7		0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	1	2	1	LE	a	-6.898	39		ANIMAL PRAC PRAC1		2	3	RE	10	1	3/12/2021 10:25:11 AM			5	Step 4	5.011872		1	47	3	1	48	0	-18	-5312.3203125	1040.953125	2571.396484375	-4471.625	-2138.83349609375	-666.386352539063	821.824768066406	187.608581542969	-18	6748.078125	4088.462890625	1919.2607421875	4081.25390625	-4362.712890625	2400.6025390625	5826.044921875	-573.261535644531	-3630.8427734375	3824.29541015625	-1551.55603027344	1145.55419921875	-18	2839.32055664063	2192.796875	2260.67602539063	559.79541015625	-18	-1663.72705078125	19957.859375	-3023.76098632813	-5704.3720703125	-18	18729.4765625	44561.71875	-2009.88745117188	-3341.48583984375	-18	7579.8330078125	36493.69921875	-7665.9462890625	-3818.91723632813	-18	-7966.189453125	-15702.1875	-420.766937255859	-2451.6171875	
Data Table	37	4	89	2091		Channels	4		0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	1	2	1	LE	B	9.546	63.5		ANIMAL PRAC PRAC1		3	1	RE	4	1	3/12/2021 10:26:22 AM			6	Step 5	125.8925		1	47	3	2	49	0	-17.5	-3647.90625	2400.921875	2803.4765625	-4617.1796875	338.843109130859	904.773559570313	917.613708496094	53.0588722229004	-17.5	3420.625	2018.5830078125	1506.84765625	3521.646484375	-4967.7138671875	1261.5341796875	-72.293212890625	-3223.30712890625	-3815.53002929688	1939.18969726563	-2128.86669921875	-127.473739624023	-17.5	3412.8603515625	1056.68408203125	1394.86059570313	-1610.02941894531	-17.5	-1024.6416015625	18093.896484375	-2436.24584960938	-8133.212890625	-17.5	20931.18359375	44866.71484375	-608.97021484375	-2994.08813476563	-17.5	10698.9931640625	41647.984375	-2685.52758789063	933.98388671875	-17.5	-6788.75390625	-15688.03125	434.367797851563	-2607.23510742188	
						Animal # 	PRAC1		0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	1	2	2	LE	a	-4.101	10		ANIMAL PRAC PRAC1		4	1	RE	3	1	3/12/2021 10:28:05 AM			7	Step 6	99.52679		1	49	4	1	50	0	-17	-1986.177734375	1609.578125	1840.306640625	-5399.3515625	2555.67114257813	591.956115722656	-184.346832275391	-676.790710449219	-17	622.6513671875	-34.710205078125	1964.0244140625	1836.515625	-5321.9462890625	-368.3515625	-5208.88427734375	-5057.8212890625	-2694.09130859375	-668.205688476563	-1875.41174316406	-1809.63098144531	-17	3994.375	237.4677734375	978.059448242188	-2717.8564453125	-17	399.0693359375	17059.17578125	-1025.32116699219	-8662.0576171875	-17	19788.21484375	43911.953125	-2027.49853515625	-4205.8173828125	-17	13167.5712890625	42614.921875	1608.26245117188	1193.794921875	-17	-6836.5078125	-14545.578125	289.989318847656	-1711.533203125	
						Study Name	ANIMAL PRAC		0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	1	2	2	LE	B	12.87	27.5		ANIMAL PRAC PRAC1		5	1	RE	3	1	3/12/2021 10:30:31 AM							1	49	4	2	51	0	-16.5	-308.83203125	376.515625	1194.630859375	-6050.484375	4064.0625	-536.733825683594	-1151.24523925781	-1278.92272949219	-16.5	-2271.021484375	-2579.14306640625	2782.8994140625	963.6611328125	-5411.3876953125	1.8662109375	-8800.416015625	-6374.3193359375	-1108.99426269531	-2313.7919921875	-1176.11267089844	-1818.79113769531	-16.5	3449.43383789063	1302.57421875	12.3432312011719	-1882.81970214844	-16.5	656.28857421875	17700.591796875	-478.293579101563	-7199.6005859375	-16.5	16335.3828125	42783.61328125	-5564.162109375	-5747.00927734375	-16.5	12879.603515625	40998.7421875	2735.92626953125	-1943.6376953125	-16.5	-7613.6484375	-13520.234375	-629.517395019531	-777.29150390625	
						DOB	12/30/1899		0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	2	1	1	RE	a	-12.14	21		ANIMAL PRAC PRAC1		6	1	RE	3	1	3/12/2021 10:33:56 AM							2	52	1	1	53	0	-16	973.6953125	421.71875	1256.4140625	-6293.5390625	4564.60693359375	-790.838195800781	-1326.35888671875	-1367.58093261719	-16	-5405.1943359375	-5556.068359375	3316.2724609375	924.92431640625	-4897.3251953125	1909.8037109375	-10864.5849609375	-7296.32666015625	59.0030364990234	-2671.0615234375	-94.3782501220703	-258.386566162109	-16	2442.56909179688	3258.23583984375	-1208.97009277344	-64.1207580566406	-16	1678.33215332031	17836.466796875	167.012573242188	-5753.5419921875	-16	13231.763671875	41777.328125	-8619.73046875	-6915.9189453125	-16	12147.474609375	39301.546875	2239.75390625	-5556.599609375	-16	-7856.6328125	-13489.7890625	-1212.66577148438	-733.089111328125	
